fecha,cartera_total,cartera_vencida,deuda,patrimonio,intereses_cartera_total,intereses_deuda,vehiculos_mensuales_estimados,ebt
2001-01-31,191796346010.0,27880762520.0,123214182930.0,71429059960.0,4140511240.0,1468275750.0,5259.001475196592,874548580.0
2001-02-28,191624786350.0,25380455140.0,120133594040.0,72521875370.0,4058606890.0,1496355980.0,5338.161782923554,568124330.0
2001-03-31,191133412910.0,28587936490.0,117606291610.0,73698321140.0,4378792810.0,1341889870.0,5461.951593688532,2280955820.0
2001-04-30,184094037190.0,26253623020.0,113517808940.0,74662015380.0,4260487910.000002,1578365170.0,5433.358182221618,1098050350.0
2001-05-31,187007518380.0,40769485350.0,112077218790.0,76077928570.0,4228501919.999998,1379795290.0,5432.610272498127,1550269290.0
2001-06-30,200201130470.0,25001033160.0,111619448670.0,76548923530.0,4234361520.0,1398760490.0,5534.408281491061,600994960.0
2001-07-31,184957354750.0,24426157550.0,117695574340.0,72440624140.0,4403423090.0,1440767370.0,5827.447897124657,-2128918820.0
2001-08-31,193598744840.0,24079423880.0,118367691030.0,73655651480.0,4447253510.0,1454784820.0,5697.1311034130795,1349383440.0
2001-09-30,197128223030.0,25180381330.0,120531787380.0,74462706000.0,4557592420.0,1440103130.0,5625.741794670071,941410630.0
2001-10-31,203747659020.0,21105755310.0,125646181180.0,74712689380.0,4596265150.0,1478492370.0,5773.583767530205,384339470.0
2001-11-30,212472917790.0,20181212310.0,132493068820.0,75070852590.0,4651788760.0,1448961720.0,6073.742103709016,492519320.0
2001-12-31,221471179680.0,17892235970.0,145861659390.0,75529950180.0,4817995470.0,1465608180.0,7135.861745533487,621369380.0
2002-01-31,211696443420.0,27611793310.0,142925609970.0,77008287130.0,4431267790.0,1503866490.0,6768.166915369346,1984826000.0
2002-02-28,225029472450.0,31510419220.0,147707820410.0,72271624830.0,4351064900.0,1482354140.0,6870.043702872634,2101440350.0
2002-03-31,234958729430.0,36400806580.0,157512407430.0,73979711750.0,4659506660.0,1486934500.0,7029.357235228704,2377145630.0
2002-04-30,221922496790.0,33158672630.0,152701270990.0,75062924850.0,4659207540.0,1521270700.0,6992.558428002534,1351654000.0
2002-05-31,227650572000.0,34763743210.0,145958074320.0,76171401020.0,4449591400.0,1396247920.0,6991.5958920781595,1404909160.0
2002-06-30,242855183190.0,41248826140.0,145919197440.0,77334238890.0,4417459630.0,1270048810.0,7122.606678016509,1562195640.0
2002-07-31,242006446260.0,38438199850.0,143477746530.0,78700567730.0,4324869730.0,1168971000.0,7499.739303055317,1937876210.0
2002-08-31,248640246930.0,40680797510.0,143856038590.0,79811070440.0,4256819900.0,1068794400.0,7332.025752132089,1780502710.0
2002-09-30,255358334570.0,41070221000.0,153999105920.0,80602108500.0,4332286110.0,1009503450.0,7240.149992099628,1609718770.0
2002-10-31,264072455570.0,40449842750.0,154859828920.0,82473925760.0,4475980610.0,1085592740.0,7430.417888797164,2647751450.0
2002-11-30,280309620470.0,46267980070.0,163892058740.0,84235345670.0,4517072570.0,1153563540.0,7816.712079791244,2749501270.0
2002-12-31,274958156200.0,23781703790.0,190250246490.0,87065897570.0,4776403070.0,1243415560.0,9183.62613255667,3434140550.0
2003-01-31,281232788730.0,25076917490.0,189952225180.0,88551935250.0,4613996710.0,1269496810.0,7273.956613033421,2198104930.0
2003-02-28,291803269080.0,25733896430.0,196123650110.0,89968061960.0,4694048280.0,1209691970.0,7383.446721867964,2550271450.0
2003-03-31,294863716180.0,28564788700.0,197974212600.0,75578982550.0,4950141740.0,1446470790.0,7554.665862400037,2164885320.0
2003-04-30,301572656380.0,25328844240.0,218136650080.0,76744914130.0,4867048340.0,1381179280.0,7515.117055386028,2227631150.0
2003-05-31,308739062210.0,25658839440.0,220496565950.0,78600076200.0,5094456050.0,1530547240.0,7514.0825885001,2869315180.0
2003-06-30,311115397280.0,31964780180.0,195556485440.0,79924717330.0,5037033950.0,1467306370.0,7654.88389920521,2008792470.0
2003-07-31,312461273130.0,26839907620.0,226120476630.0,81740773270.0,5089880560.000004,1510678940.0,8060.199900745042,2802031470.0
2003-08-31,322559297610.0,30391306510.0,213357038270.0,83347211040.0,5085051939.999996,1558190870.0,7879.953002568957,2326860410.0
